Region,Latitude,Longitude,Soil_Type,Soil_pH,Organic_Carbon,Clay_pct,Silt_pct,Sand_pct,Avg_Temp_C,Annual_Rainfall_mm,Humidity_pct,Sunlight_hours,Irrigation_Available,Water_Source,Elevation_m,Past_Crop,Yield_kg_per_ha,Suitable_Crop,Best_Planting_Month,Growing_Duration_days
Kurunegala,7.8,80.75,Silty,6.5,1.75,41.3,28.6,53.3,22.9,1066,61,6.6,No,Rainfed,838.2,Vegetables,3632,Groundnut,June,110
Kandy,9.22,80.55,Sandy,7.4,1.05,17.7,38.1,27.8,23.3,1772,60,8.3,No,River,1333.4,Maize,3554,Tea,October,120
Monaragala,6.24,80.83,Loam,7.2,1.65,36.5,21.5,55.7,30.8,1876,75,6.1,No,Well,492.5,Groundnut,4142,Coconut,April,110
Ratnapura,9.04,80.99,Silty,6.2,1.18,23.1,22.8,38.3,27.6,1211,67,6.1,No,Well,204.7,Tea,831,Paddy,May,150
Nuwara_Eliya,6.12,81.08,Silty,7.2,1.38,37.8,21,47.1,28.8,1382,82,7.1,No,River,736.5,Maize,1602,Paddy,May,180
Kurunegala,9.19,80.81,Silty,5.7,0.79,36.7,35,39.9,31,1290,68,6.7,Yes,River,1121.3,Coconut,3861,Vegetables,March,180
Matara,6.1,81.17,Laterite,7.4,0.94,15.2,38,23.8,30.9,980,67,7.6,No,Rainfed,169.2,Coconut,3281,Vegetables,March,180
Hambantota,5.97,80.07,Silty,6.8,1.94,30.3,21.9,31.6,28.9,1641,67,6.5,No,Rainfed,639.9,Coconut,4109,Paddy,May,90
Kurunegala,8.62,80.2,Clay,5.6,1.86,19.2,41.6,59.3,22.4,1808,64,5.9,No,Well,31.6,Coconut,1012,Chilli,April,90
Monaragala,9.79,81.36,Silty,6.8,1.55,41,26.9,58.4,30.1,1235,75,6.9,Yes,Rainfed,55.2,Coconut,3009,Chilli,April,90
Monaragala,9.4,80.41,Laterite,7.4,1.3,41.1,40.6,32.8,22.4,1989,64,7.2,No,River,727,Chilli,2905,Onion,May,90
Ratnapura,8.15,79.84,Silty,5.6,1.58,27.6,49.5,59.9,28.9,983,71,5.6,No,Well,450.8,Onion,932,Groundnut,June,110
Nuwara_Eliya,9.48,80.09,Loam,6.6,1.5,28.3,40.7,53.8,28.2,1628,72,7.2,Yes,Rainfed,1268.4,Tea,2700,Coconut,April,115
Kandy,5.92,80.22,Loam,7,1.44,24.1,46.5,44.4,29.1,1393,61,6.3,No,Well,905.2,Maize,3055,Groundnut,June,110
Ratnapura,9.7,81.62,Laterite,7.1,0.78,36.5,48.4,21.6,26.4,1391,60,6.6,No,River,683.6,Coconut,1508,Vegetables,March,115
Ratnapura,7.81,80.89,Clay,6.3,1.52,25.8,34.6,56.1,27.7,1403,73,6.1,No,Rainfed,614.9,Chilli,1811,Paddy,May,110
Hambantota,8.72,81.57,Clay,5.9,1.7,23,41.1,42.3,31.4,1185,77,8.7,Yes,River,748.4,Vegetables,3169,Groundnut,June,150
Jaffna,9.1,80.89,Sandy,5.6,1.99,28,45.6,54.7,21.2,1687,84,7.7,Yes,River,65.5,Vegetables,2533,Onion,May,80
Nuwara_Eliya,8.7,80.71,Laterite,6.7,0.71,17.7,30.7,53.4,23.7,1694,64,6,No,Well,1339.7,Groundnut,3975,Tea,October,80
Polonnaruwa,7.99,80.4,Silty,6.4,1.65,37.4,27.8,53.3,27.3,1211,63,7.6,No,Well,1497.5,Chilli,2067,Paddy,May,90
Ratnapura,7.76,80.95,Laterite,7.4,1.44,15.4,48.4,47.9,31.6,1819,61,8.4,No,Well,276.3,Chilli,1787,Chilli,April,80
Ampara,9.17,80.06,Sandy,5.6,1.26,34.3,41.8,31.7,21.1,1249,71,6.6,Yes,Rainfed,185,Tea,4444,Maize,June,100
Jaffna,6.7,81.51,Laterite,6.9,0.87,20.5,26.6,33.4,20.3,1698,76,8.3,Yes,Rainfed,219.6,Coconut,4171,Vegetables,March,120
Polonnaruwa,9.68,81.38,Laterite,5.5,1.23,22,33.5,32.3,20.7,1033,81,5.6,Yes,Well,993.2,Chilli,907,Paddy,May,120
Ampara,8.67,80.4,Sandy,5.8,1.16,34.1,43.9,20.8,20.6,1086,77,8.3,Yes,Rainfed,993.9,Onion,3652,Maize,June,80
Nuwara_Eliya,6.68,81.61,Clay,6.4,1.09,44.8,36.4,43.3,30.9,1247,65,7.2,Yes,Rainfed,1272.6,Chilli,1208,Vegetables,March,120
Anuradhapura,8.77,81.37,Silty,6.4,1.65,38.3,39.5,48,28.7,1553,72,5.9,Yes,Well,1129,Coconut,902,Paddy,May,115
Ampara,7.97,81.07,Sandy,6.9,1.61,21.8,42.6,54.2,28.1,1610,83,6.6,No,River,677.3,Tea,1813,Paddy,May,150
Matara,8.66,80.03,Loam,7.3,1.47,20.3,38.7,25.6,26.3,1336,68,9,Yes,Rainfed,921.2,Chilli,1797,Maize,June,120
Jaffna,8.89,80.71,Clay,6.8,1.92,41,36.2,41.8,29.4,986,72,8.1,No,Rainfed,1034,Maize,3831,Paddy,May,150
Ampara,6.24,80.76,Loam,7.4,1.15,28.3,42.5,20.3,21.9,1311,84,7.3,Yes,River,771.5,Paddy,3429,Maize,June,90
Galle,7.87,80.24,Clay,7.3,1.02,19.1,41.8,23.8,24.7,1658,78,5.5,No,River,716.1,Vegetables,4432,Tea,October,80
